,accuracy,capturedAt,convergenceStatus,latitude,longitude,planterCheckInId,treeUuid
3175,8,1601878122630,CONVERGED,-6.658881282901933,37.622710018741934,1,2415b799-bcb3-4363-9749-4da95ac57c81
3187,8,1601878135660,CONVERGED,-6.658894209904648,37.62266580953468,1,2d938e58-8d62-4cd5-a158-c8124005a2b3
3203,8,1601878152521,CONVERGED,-6.658905324036918,37.622619797657904,1,6830b788-e51e-4056-9863-14e979511a01
3216,8,1601878167929,CONVERGED,-6.6589123044204745,37.622560901505,1,536455d4-5a1d-483d-a726-0416d36f941c
3234,6,1601878187506,CONVERGED,-6.658922410268778,37.622541325405294,1,819d79a3-3b76-462e-a1ff-1bd4b9528249
3250,12,1601878206211,CONVERGED,-6.658932242223156,37.622507044250604,1,b2c1beca-dd71-4766-b8cd-842e5d454551
3263,6,1601878222549,CONVERGED,-6.658944011296392,37.62249460317035,1,d6d3891d-a3df-4b2f-b238-8b1ed808e9a4
3273,4,1601878234950,CONVERGED,-6.658963718921799,37.62244698482797,1,a39baf79-370b-476c-a6bc-6d83fbb59f4d
3289,6,1601878262969,CONVERGED,-6.658941711566541,37.62242311939479,1,9a55a6b0-50f6-462a-b4a1-c6e75e2a1990
3312,6,1601878295627,CONVERGED,-6.658967067939557,37.62226517887165,1,8dbf991c-59ed-4605-8f04-684060d2887a
3325,8,1601878309604,CONVERGED,-6.65898785484888,37.62224568166727,1,908e0a53-44a4-4fe0-89c1-b1ff296c177b
3336,8,1601878322561,CONVERGED,-6.658979908856842,37.62220878068018,1,cc2dcedb-0a54-47be-a0f3-7887dfb53c3b
3348,6,1601878336144,CONVERGED,-6.659009552434418,37.6222073567502,1,ea96fed1-4a7d-498a-820e-d7f3af41e6d3
3359,8,1601878348796,CONVERGED,-6.659010298179483,37.62219799875018,1,058e95a4-f97f-464a-97ec-ec1e0e9b3063
3370,6,1601878360391,CONVERGED,-6.65901015051453,37.62216337789389,1,a540d002-5448-4ab7-ac3d-3815d0f70caf
3384,4,1601878378121,CONVERGED,-6.659014273578486,37.62214528863657,1,305bcf0c-d0b0-47e4-aa1e-51475328b51c
3397,8,1601878395386,CONVERGED,-6.659025712531003,37.622133836341185,1,23f7d22a-9be2-4789-8b07-897edf1f8632
3412,8,1601878414383,CONVERGED,-6.6590605524493744,37.62209069137113,1,10353c60-2d07-47d4-9678-5f407fdc4d2f
3424,8,1601878432261,CONVERGED,-6.659041781548438,37.62210862652945,1,d12fa938-7323-456a-b001-36b3d32c1e4e
3441,6,1601878454000,CONVERGED,-6.65903202550916,37.622065096735,1,b65ad3b1-5b07-4541-9d58-8c0c9af0fa75
3454,8,1601878467389,CONVERGED,-6.659051157762657,37.62201213769729,1,459d79f3-988d-4f24-a6d6-5c4eb05f75d3
3471,6,1601878484583,CONVERGED,-6.659073151044455,37.62196417078857,1,9ce4e148-baec-4b8c-adfb-858a4800bf40
3484,8,1601878498898,CONVERGED,-6.6590751061688165,37.62195119600052,1,7968cadb-fee9-46ea-b2e1-dd4c9df3339c
3498,8,1601878513588,CONVERGED,-6.659070409954072,37.62194232551169,1,ae4a5e99-e822-42b4-8260-5a13c5027ea2
3516,8,1601878532379,CONVERGED,-6.659073812011083,37.62193161291303,1,4e5b3c16-71c9-4dc5-81ea-7fe033f6e0ed
3526,8,1601878547848,CONVERGED,-6.659077628029737,37.62191438686768,1,0150169e-0fdc-4490-80b0-8f261c25cbea
3538,6,1601878562270,CONVERGED,-6.6590923714596695,37.621880723757755,1,d58047c0-b24d-47f8-9b13-522e3c8239fd
3550,6,1601878576851,CONVERGED,-6.659094948880679,37.6218492190616,1,2024c8d7-e9b8-4f07-a62c-d9cba75aca8e
3562,6,1601878592265,CONVERGED,-6.659119460088171,37.62181428727948,1,e28af723-f89b-454e-b9df-505bb39d7762
3574,6,1601878607762,CONVERGED,-6.659116318379378,37.62175680092719,1,f0331e17-0694-45f6-9326-5917082edfbb
3587,12,1601878624160,CONVERGED,-6.659136976482365,37.62170239310599,1,fe5239ec-2893-4643-9e02-147f1219a6c5
3599,8,1601878639683,CONVERGED,-6.6591310405486785,37.62168136573865,1,c1939351-0980-4e41-b1bc-f43cf0c0beae
3612,16,1601878657125,CONVERGED,-6.659175678822581,37.62163352264099,1,06f49b47-0075-4648-bba8-7b023de4ed5c
3622,8,1601878672561,CONVERGED,-6.659188661426036,37.62159476789609,1,0bfb3886-bc6e-4490-8ac4-96cf123f9e12
3633,8,1601878689018,CONVERGED,-6.6591772617508935,37.62158570699084,1,e2ffa4eb-1dfd-4fd0-afa2-6667e440da28
